External ID,Type,Title,Summary,State,Priority,Parent ID,Agent Owner,Labels,Acceptance Criteria,Depends On,Notes
"TASK-2-4","task","Configure OpenClaw to use Groq API","Configure OpenClaw to use Groq as its reasoning backend and verify workflow triggering.","Backlog","high","EPIC-2","infrastructure-operations","type:task|infra|ai-ops|phase-1|owner:infrastructure-operations","OpenClaw uses Groq rather than local Ollama. | Reasoning and code models are configured. | OpenClaw can trigger n8n successfully.","TASK-2-1|TASK-0-2",""
"TASK-2-5","task","Build Workflow 0 — Health check","Create the first VPS n8n workflow to verify Supabase, Whisper, and Groq health regularly.","Backlog","urgent","EPIC-2","automation-operations","type:task|infra|automation|phase-1|owner:automation-operations","The workflow runs every five minutes. | Results are logged to agent operations storage. | Failures are captured without noisy human escalation on the first miss.","TASK-2-1|TASK-2-2|TASK-2-3",""
"TASK-2-6","task","Create Supabase database schema for agent operations","Create the operational tables and extensions required for agent memory and workflow logging.","Backlog","urgent","EPIC-2","fullstack-engineering","type:task|backend|infra|phase-1|owner:fullstack-engineering","Agent memory and logging tables exist. | pgvector is enabled for future use. | The health-check workflow can write logs successfully.","TASK-2-2",""
"TASK-3-1","task","Create Supabase schema for Quranic content","Create the Supabase schema for Surahs, words, reference audio, and timestamps.","Backlog","urgent","EPIC-3","data-foundation","type:task|backend|data|phase-1|owner:data-foundation","The Quranic content tables exist with indexes. | Foreign keys are valid. | The schema supports ayah-level lookup and timing retrieval.","TASK-2-6",""
"TASK-3-2","task","Download QUL data assets","Download the required QUL JSON assets and upload reference audio to Supabase Storage.","Backlog","urgent","EPIC-3","founder","type:task|data|human-gate|phase-1|owner:founder","Required JSON data exists in the repo data folder. | Audio files are uploaded to the storage bucket rather than committed to git. | The import scripts have the source assets they need.","TASK-0-5|TASK-3-1",""
"TASK-3-3","task","Write and run QUL import scripts","Create idempotent scripts that load Surahs, words, timestamps, and audio metadata into Supabase.","Backlog","urgent","EPIC-3","data-foundation","type:task|data|backend|phase-1|owner:data-foundation","The import scripts are idempotent. | Core row counts are populated. | At least Al-Fatiha is fully usable for testing.","TASK-3-1|TASK-3-2",""
"TASK-3-4","task","Verify data integrity with test queries","Verify that imported Quranic content and reference audio metadata are correct and queryable.","Backlog","urgent","EPIC-3","tester","type:task|data|qa|phase-1|owner:tester","The verification queries pass for Al-Fatiha. | Timing data is ordered and complete for the tested slice. | The imported dataset is usable for Phase 1.","TASK-3-3",""
"TASK-4-1","task","Migrate existing n8n workflow definitions to VPS","Import the checked-in n8n workflows into the VPS runtime and update runtime-specific credentials and URLs.","Backlog","urgent","EPIC-4","automation-operations","type:task|automation|ai-ops|phase-1|owner:automation-operations","Checked-in workflow definitions are imported to the VPS runtime. | Runtime credentials and URLs are updated safely. | Workflows activate without import errors.","TASK-2-1",""
"TASK-4-2","task","Build GitHub → Plane automation workflow","Create a push-triggered workflow that summarizes branch activity and comments on or creates the corresponding Plane task.","Backlog","urgent","EPIC-4","automation-operations","type:task|automation|ai-ops|phase-1|owner:automation-operations","Push events are received and summarized. | The correct Plane task is commented on or created. | The workflow logs its actions.","TASK-4-1|TASK-0-3|TASK-0-4",""
"TASK-4-3","task","Build GitHub PR → automated code review workflow","Create a PR review workflow that posts Groq review comments only when CodeRabbit has not already handled the review.","Backlog","urgent","EPIC-4","automation-operations","type:task|automation|ai-ops|phase-1|owner:automation-operations","PR events trigger the workflow. | Duplicate bot reviews are avoided when CodeRabbit is already active. | Review actions are logged.","TASK-4-1|TASK-0-3",""
"TASK-4-4","task","Build Plane new task → decomposition workflow","Create a Plane-triggered decomposition workflow that expands sufficiently detailed work into child tasks.","Backlog","high","EPIC-4","automation-operations","type:task|automation|ai-ops|phase-1|owner:automation-operations","Well-described tasks are decomposed into subtasks. | Vague tasks are flagged for clarification instead. | All actions are logged.","TASK-4-1|TASK-0-4",""
"TASK-4-5","task","Build daily standup workflow","Create a weekday standup workflow that summarizes recent commits, open tasks, and failed agent runs.","Backlog","medium","EPIC-4","automation-operations","type:task|automation|ai-ops|phase-1|owner:automation-operations","The workflow runs on weekday mornings Cairo time. | The summary covers completed work, in-progress work, and blockers. | The summary is posted back into the execution system.","TASK-4-1|TASK-0-4",""
"TASK-4-6","task","Update and version all skills.md files for new agent roles","Create the runtime skills set for orchestration, review, planning, connectors, error handling, standups, specs, and speech QA.","Done","high","EPIC-4","docs","type:task|ai-ops|phase-1|owner:docs","The required skills files exist. | Each skill has version and model metadata. | The agent runtime roles are aligned to the new plan.","TASK-1-2","Completed in the repo-level skills/ directory."
"TASK-5-1","task","Configure Supabase client in app","Add the Supabase client to the app without breaking the existing analysis-service abstraction.","Backlog","urgent","EPIC-5","fullstack-engineering","type:task|frontend|backend|phase-1|owner:fullstack-engineering","The app has a typed Supabase client entrypoint. | Environment variables are documented and wired safely. | Tests and type checks remain green.","TASK-2-2|TASK-1-1",""
"TASK-5-2","task","Implement user authentication screens","Add sign-in and sign-up flows backed by Supabase Auth and route users into the new app flow.","Backlog","urgent","EPIC-5","fullstack-engineering","type:task|frontend|backend|phase-1|owner:fullstack-engineering","Auth screens render and use the shared i18n pattern. | Users can sign up, sign in, and sign out. | Navigation respects auth state.","TASK-5-1",""
"TASK-5-3","task","Build Home / Dashboard screen","Create the authenticated landing screen with quick entry into recitation practice and recent session context.","Backlog","high","EPIC-5","mobile-engineering","type:task|frontend|phase-1|owner:mobile-engineering","The home screen renders for signed-in users. | It shows an empty state or the latest session summary. | The quick-start flow opens the Surah browser.","TASK-5-2",""
"TASK-5-4","task","Build Surah browser screen","Create the searchable Surah browser backed by Supabase Quran metadata.","Backlog","urgent","EPIC-5","mobile-engineering","type:task|frontend|backend|phase-1|owner:mobile-engineering","All 114 Surahs are browsable. | Search works correctly. | Selecting a Surah opens the Mushaf screen.","TASK-3-4|TASK-5-1",""
"TASK-5-5","task","Build Mushaf reader screen with reference audio playback","Create the Mushaf view with ayah-level playback and word highlighting backed by reference timestamps.","Backlog","urgent","EPIC-5","mobile-engineering","type:task|frontend|backend|phase-1|owner:mobile-engineering","Quran text displays correctly in Arabic. | Reference audio plays per ayah. | Word highlighting and ayah recording entry points work.","TASK-3-4|TASK-5-4",""
"TASK-5-6","task","Refactor recording screen for production audio capture","Upgrade the existing recording screen from a shell into a real ayah-context capture, playback, and submission flow.","Backlog","urgent","EPIC-5","mobile-engineering","type:task|frontend|refactor|phase-1|owner:mobile-engineering","The recording screen receives ayah context as route params. | Users can record, replay, and submit audio. | Submission triggers the scoring path and shows loading state.","TASK-5-5|TASK-1-1",""
"TASK-5-7","task","Build recitation result screen","Create the result screen with overall score, word statuses, retry, and navigation actions.","Backlog","urgent","EPIC-5","interface-and-design","type:task|frontend|phase-1|owner:interface-and-design","The result screen shows overall and word-level feedback. | Low-confidence words render as uncertain rather than wrong. | Try-again and next-ayah actions work correctly.","TASK-5-6",""
"TASK-5-8","task","Create Supabase schema for app user data","Create the user profile and recitation-session tables with row-level security.","Backlog","urgent","EPIC-5","fullstack-engineering","type:task|backend|phase-1|owner:fullstack-engineering","The user and session tables exist. | RLS policies are active. | Basic insert and select behavior works for a user.","TASK-2-6",""
"TASK-5-9","task","Build session history screen","Move session history to Supabase-backed user data while preserving the repository abstraction pattern.","Backlog","medium","EPIC-5","mobile-engineering","type:task|frontend|phase-1|owner:mobile-engineering","History loads from Supabase rather than only local storage. | Sessions are listed per user. | Past result detail can be reopened.","TASK-5-7|TASK-5-8",""
"TASK-5-10","task","End-to-end smoke test of Phase 1 user journey","Validate the full launch journey from auth through result and history on a real device or simulator.","Backlog","urgent","EPIC-5","tester","type:task|qa|phase-1|owner:tester","The complete Phase 1 journey passes end to end. | Any failures are captured as follow-up tasks. | No crashes or unhandled errors appear during the flow.","TASK-5-7|TASK-5-9",""
"TASK-6-1","task","Build Whisper transcription service on VPS","Create the thin transcription service that exposes Whisper results to the scoring workflow.","Backlog","urgent","EPIC-6","speech-evaluation","type:task|backend|ai-ops|phase-2|owner:speech-evaluation","The service accepts audio uploads and returns text, word timings, and confidence. | Arabic transcription works for test audio. | n8n can call the service.","TASK-2-3",""
"TASK-6-2","task","Build audio scoring workflow in n8n","Create the scoring workflow that turns pending sessions into scored sessions using Whisper and reference data.","Backlog","urgent","EPIC-6","automation-operations","type:task|automation|ai-ops|phase-2|owner:automation-operations","Pending sessions trigger the workflow. | Confidence gating is enforced in stored word results. | Scored sessions are written back to Supabase with logs.","TASK-6-1|TASK-3-3",""
"TASK-6-3","task","Replace mock analysis service with real Supabase polling","Swap the fixture-backed analysis implementation for the real upload and polling flow while preserving the interface contract.","Backlog","urgent","EPIC-6","fullstack-engineering","type:task|frontend|refactor|phase-2|owner:fullstack-engineering","The analysis-service interface remains unchanged. | Real audio uploads and polling work. | Mock fixtures remain available for test paths.","TASK-6-2|TASK-5-6",""
"TASK-6-4","task","Validate scoring accuracy on Surah Al-Fatiha","Run the validation cases for correct, incorrect, silent, and fast recitation before treating real scoring as ship-ready.","Backlog","urgent","EPIC-6","tester","type:task|qa|phase-2|owner:tester","All planned test cases are executed and documented. | If scores are weak, the ship posture is adjusted rather than overclaimed. | The validation report exists in repo docs.","TASK-6-3",""
"TASK-7-1","task","Build hidden verses memorization mode","Add the Phase 2 memorization mode on top of the Mushaf and scoring flow.","Backlog","medium","EPIC-7","mobile-engineering","type:task|frontend|new-feature|phase-2|owner:mobile-engineering","The mode can hide text. | Correct recitation reveals text progressively. | Mode state resets cleanly between sessions.","TASK-5-5",""
"TASK-7-2","task","Build goals and streaks system","Add Phase 2 goal and streak features on top of authenticated recitation-session data.","Backlog","medium","EPIC-7","fullstack-engineering","type:task|frontend|backend|new-feature|phase-2|owner:fullstack-engineering","Goal and streak data is stored correctly. | The goals screen renders the current state. | Streaks update from real session activity.","TASK-5-8",""
"TASK-7-3","task","Build mistake history and progress screen","Add Phase 2 trend and mistake-history views using recitation-session results.","Backlog","medium","EPIC-7","mobile-engineering","type:task|frontend|backend|new-feature|phase-2|owner:mobile-engineering","The screen shows per-Surah progress trends. | Frequent mistakes are derived correctly from stored results. | The visualizations work with at least one real user dataset.","TASK-5-9",""
